type	latitude	longitude	altitude (m)	name	desc
T	48.661320000	6.187490000	244.9		
T	48.661280000	6.187460000	244.0		
T	48.661190000	6.187410000	242.7		
T	48.661100000	6.187360000	242.0		
T	48.660870000	6.187220000	242.0		
T	48.660790000	6.187160000	242.8		
T	48.660720000	6.187130000	244.0		
T	48.660540000	6.187020000	245.9		
T	48.660090000	6.186750000	246.3		
T	48.659680000	6.186500000	247.2		
T	48.659350000	6.186310000	247.2		
T	48.658680000	6.185900000	244.0		
T	48.658600000	6.185850000	243.4		
T	48.658520000	6.185800000	244.3		
T	48.658170000	6.185600000	247.6		
T	48.657880000	6.185420000	247.8		
T	48.657630000	6.185270000	246.4		
T	48.657550000	6.185220000	245.6		
T	48.657480000	6.185180000	245.3		
T	48.657330000	6.185090000	244.2		
T	48.657190000	6.185010000	242.7		
T	48.656970000	6.184880000	246.1		
T	48.656760000	6.184750000	246.6		
T	48.656620000	6.184660000	246.2		
T	48.656530000	6.184610000	246.0		
T	48.656120000	6.184360000	245.0		
T	48.655860000	6.184200000	245.7		
T	48.655650000	6.184060000	244.7		
T	48.655210000	6.183780000	244.2		
T	48.655150000	6.183740000	244.3		
T	48.654360000	6.183220000	244.9		
T	48.654240000	6.183140000	245.3		
T	48.653770000	6.182840000	245.5		
T	48.653360000	6.182600000	245.7		
T	48.653240000	6.182530000	245.6		
T	48.652910000	6.182350000	245.8		
T	48.652830000	6.182310000	245.4		
T	48.652720000	6.182260000	245.0		
T	48.652570000	6.182190000	245.5		
T	48.652260000	6.182050000	244.9		
T	48.652110000	6.181980000	244.6		
T	48.651870000	6.181890000	244.8		
T	48.651740000	6.181840000	245.1		
T	48.651590000	6.181790000	244.8		
T	48.651390000	6.181720000	244.0		
T	48.651160000	6.181640000	244.3		
T	48.650810000	6.181540000	244.5		
T	48.650680000	6.181510000	244.6		
T	48.650490000	6.181470000	244.5		
T	48.650450000	6.181460000	244.5		
T	48.650260000	6.181420000	244.0		
T	48.650030000	6.181380000	243.9		
T	48.649640000	6.181320000	243.5		
T	48.649510000	6.181310000	243.4		
T	48.649360000	6.181290000	243.4		
T	48.649130000	6.181270000	243.7		
T	48.648980000	6.181260000	244.2		
T	48.648800000	6.181260000	244.4		
T	48.648680000	6.181250000	244.1		
T	48.648260000	6.181250000	244.5		
T	48.648150000	6.181240000	244.5		
T	48.648060000	6.181240000	244.5		
T	48.647930000	6.181250000	244.5		
T	48.647670000	6.181250000	244.7		
T	48.647380000	6.181250000	245.4		
T	48.647020000	6.181250000	246.4		
T	48.646790000	6.181240000	246.2		
T	48.646360000	6.181230000	246.6		
T	48.646190000	6.181230000	246.9		
T	48.645860000	6.181210000	247.3		
T	48.645600000	6.181190000	247.9		
T	48.645410000	6.181180000	248.1		
T	48.645240000	6.181160000	248.2		
T	48.645090000	6.181150000	248.1		
T	48.644950000	6.181140000	248.3		
T	48.644820000	6.181140000	248.7		
T	48.644630000	6.181130000	249.3		
T	48.644510000	6.181120000	249.8		
T	48.644310000	6.181110000	250.0		
T	48.644180000	6.181100000	250.1		
T	48.644070000	6.181100000	250.1		
T	48.643610000	6.181080000	250.3		
T	48.643370000	6.181070000	251.1		
T	48.643130000	6.181060000	251.3		
T	48.642770000	6.181060000	252.2		
T	48.642330000	6.181060000	252.2		
T	48.642320000	6.181060000	252.2		
T	48.641690000	6.181060000	253.8		
T	48.641620000	6.181060000	253.8		
T	48.641370000	6.181070000	254.1		
T	48.641020000	6.181080000	255.1		
T	48.640780000	6.181090000	255.3		
T	48.640400000	6.181110000	256.0		
T	48.639990000	6.181140000	256.6		
T	48.639750000	6.181160000	250.5		
T	48.639660000	6.181160000	251.4		
T	48.639370000	6.181180000	257.1		
T	48.639300000	6.181190000	257.1		
T	48.639190000	6.181200000	257.3		
T	48.639050000	6.181210000	257.6		
T	48.638950000	6.181220000	257.9		
T	48.638830000	6.181230000	258.2		
T	48.638760000	6.181240000	258.5		
T	48.638640000	6.181250000	258.9		
T	48.638520000	6.181260000	259.2		
T	48.638400000	6.181280000	259.3		
T	48.638280000	6.181290000	259.5		
T	48.637920000	6.181330000	260.4		
T	48.637810000	6.181340000	260.5		
T	48.637720000	6.181350000	260.6		
T	48.637690000	6.181360000	260.6		
T	48.637650000	6.181360000	260.8		
T	48.637430000	6.181390000	261.0		
T	48.637370000	6.181400000	261.0		
T	48.637330000	6.181400000	261.0		
T	48.637250000	6.181410000	261.0		
T	48.637080000	6.181440000	261.5		
T	48.636260000	6.181550000	262.8		
T	48.635740000	6.181620000	263.8		
T	48.635480000	6.181660000	262.4		
T	48.635370000	6.181670000	260.0		
T	48.635270000	6.181690000	258.7		
T	48.635130000	6.181710000	262.2		
T	48.634980000	6.181730000	265.0		
T	48.634630000	6.181790000	265.4		
T	48.634510000	6.181810000	265.5		
T	48.634400000	6.181830000	265.7		
T	48.634270000	6.181840000	266.0		
T	48.634090000	6.181880000	266.5		
T	48.634010000	6.181890000	266.6		
T	48.633870000	6.181920000	266.9		
T	48.633570000	6.181970000	267.9		
T	48.633370000	6.182000000	268.0		
T	48.632770000	6.182120000	269.0		
T	48.632430000	6.182180000	269.8		
T	48.632320000	6.182200000	269.9		
T	48.632220000	6.182130000	270.0		
T	48.632210000	6.182130000	270.0		
T	48.632180000	6.182130000	270.2		
T	48.631940000	6.182180000	271.0		
T	48.631880000	6.182190000	271.0		
T	48.631800000	6.182200000	271.0		
T	48.631630000	6.182230000	271.0		
T	48.631440000	6.182250000	271.1		
T	48.631310000	6.182260000	271.4		
T	48.631260000	6.182250000	271.5		
T	48.631200000	6.182230000	271.7		
T	48.631060000	6.182240000	272.0		
T	48.630980000	6.182240000	272.0		
T	48.630900000	6.182240000	272.0		
T	48.630720000	6.182230000	272.4		
T	48.630540000	6.182210000	272.9		
T	48.630350000	6.182190000	272.3		
T	48.630120000	6.182150000	272.3		
T	48.629930000	6.182110000	272.6		
T	48.629770000	6.182070000	272.9		
T	48.629610000	6.182020000	272.8		
T	48.629320000	6.181930000	271.6		
T	48.629260000	6.181900000	271.3		
T	48.629160000	6.181860000	271.0		
T	48.629100000	6.181830000	271.2		
T	48.629010000	6.181790000	271.2		
T	48.628970000	6.181770000	271.1		
T	48.628900000	6.181730000	270.7		
T	48.628850000	6.181670000	270.3		
T	48.628810000	6.181620000	270.5		
T	48.628790000	6.181560000	270.5		
T	48.628780000	6.181540000	270.5		
T	48.628770000	6.181500000	270.4		
T	48.628750000	6.181440000	270.2		
T	48.628740000	6.181380000	269.9		
T	48.628740000	6.181320000	269.9		
T	48.628740000	6.181250000	269.9		
T	48.628740000	6.181200000	269.9		
T	48.628740000	6.181150000	269.9		
T	48.628760000	6.181100000	270.0		
T	48.628780000	6.181050000	269.9		
T	48.628790000	6.181010000	269.8		
T	48.628810000	6.180970000	269.7		
T	48.628840000	6.180920000	269.5		
T	48.628870000	6.180880000	269.3		
T	48.628920000	6.180820000	269.5		
T	48.628930000	6.180800000	269.7		
T	48.628980000	6.180640000	270.2		
T	48.629070000	6.180540000	271.0		
T	48.629170000	6.180410000	271.0		
T	48.629510000	6.179990000	272.2		
T	48.629570000	6.179920000	272.9		
T	48.629690000	6.179780000	273.3		
T	48.629760000	6.179690000	272.7		
T	48.629880000	6.179550000	273.1		
T	48.630020000	6.179390000	274.9		
T	48.630170000	6.179200000	276.1		
T	48.630370000	6.178970000	277.3		
T	48.630530000	6.178770000	279.2		
T	48.630690000	6.178590000	280.6		
T	48.630790000	6.178460000	281.5		
T	48.630840000	6.178400000	282.2		
T	48.631150000	6.178020000	284.8		
T	48.631210000	6.177940000	284.9		
T	48.631270000	6.177880000	285.4		
T	48.631310000	6.177830000	286.0		
T	48.631440000	6.177670000	287.0		
T	48.631490000	6.177610000	287.2		
T	48.631750000	6.177300000	289.5		
T	48.631780000	6.177270000	289.6		
T	48.632060000	6.176920000	292.7		
T	48.632150000	6.176810000	293.3		
T	48.632340000	6.176580000	294.1		
T	48.632520000	6.176360000	296.7		
T	48.632750000	6.176070000	299.0		
T	48.632840000	6.175950000	299.0		
T	48.633120000	6.175600000	301.4		
T	48.633240000	6.175450000	302.3		
T	48.633410000	6.175250000	304.8		
T	48.633800000	6.174780000	308.2		
T	48.633810000	6.174770000	308.3		
T	48.633870000	6.174710000	309.0		
T	48.633960000	6.174600000	309.7		
T	48.634150000	6.174370000	311.3		
T	48.634210000	6.174300000	311.8		
T	48.634280000	6.174220000	312.3		
T	48.634390000	6.174100000	313.1		
T	48.634530000	6.173920000	314.3		
T	48.634610000	6.173820000	314.8		
T	48.634840000	6.173540000	316.6		
T	48.634930000	6.173430000	316.9		
T	48.635180000	6.173130000	318.7		
T	48.635260000	6.173040000	319.0		
T	48.635400000	6.172880000	319.5		
T	48.635540000	6.172700000	319.4		
T	48.635630000	6.172600000	319.5		
T	48.635720000	6.172480000	320.1		
T	48.635820000	6.172370000	320.5		
T	48.635830000	6.172360000	320.5		
T	48.635970000	6.172210000	320.1		
T	48.636120000	6.172050000	320.1		
T	48.636150000	6.172020000	320.0		
T	48.636230000	6.171950000	319.7		
T	48.636320000	6.171860000	319.5		
T	48.636460000	6.171750000	319.5		
T	48.636540000	6.171690000	320.0		
T	48.636620000	6.171630000	320.3		
T	48.636730000	6.171550000	319.5		
T	48.636810000	6.171510000	319.0		
T	48.636910000	6.171450000	319.4		
T	48.636930000	6.171450000	319.3		
T	48.636990000	6.171410000	320.2		
T	48.637110000	6.171360000	320.4		
T	48.637210000	6.171330000	320.4		
T	48.637300000	6.171300000	320.3		
T	48.637380000	6.171270000	320.4		
T	48.637460000	6.171260000	320.4		
T	48.637630000	6.171220000	321.0		
T	48.637760000	6.171200000	321.4		
T	48.637810000	6.171190000	321.8		
T	48.637830000	6.171190000	321.9		
T	48.637940000	6.171180000	322.6		
T	48.637990000	6.171180000	322.8		
T	48.638070000	6.171170000	323.4		
T	48.638170000	6.171170000	324.0		
T	48.638360000	6.171160000	325.5		
T	48.638580000	6.171150000	326.8		
T	48.638820000	6.171140000	328.7		
T	48.638900000	6.171140000	329.2		
T	48.639070000	6.171120000	331.0		
T	48.639170000	6.171110000	332.0		
T	48.639180000	6.171110000	332.0		
T	48.639260000	6.171100000	332.2		
T	48.639350000	6.171090000	332.6		
T	48.639370000	6.171080000	332.6		
T	48.639460000	6.171060000	332.9		
T	48.639650000	6.171000000	332.1		
T	48.639720000	6.170980000	332.0		
T	48.639750000	6.170970000	332.1		
T	48.639800000	6.170950000	332.6		
T	48.639860000	6.170920000	333.6		
T	48.639950000	6.170880000	335.7		
T	48.640010000	6.170850000	337.4		
T	48.640070000	6.170820000	337.7		
T	48.640140000	6.170780000	337.7		
T	48.640210000	6.170730000	338.0		
T	48.640290000	6.170680000	338.6		
T	48.640380000	6.170600000	339.2		
T	48.640460000	6.170530000	340.2		
T	48.640520000	6.170470000	340.7		
T	48.640600000	6.170390000	341.0		
T	48.640690000	6.170300000	342.1		
T	48.640740000	6.170230000	343.2		
T	48.640800000	6.170150000	344.0		
T	48.640900000	6.170020000	344.5		
T	48.640910000	6.170000000	344.7		
T	48.640970000	6.169900000	345.6		
T	48.641030000	6.169800000	346.5		
T	48.641080000	6.169720000	347.1		
T	48.641160000	6.169570000	347.1		
T	48.641220000	6.169430000	347.8		
T	48.641260000	6.169340000	348.6		
T	48.641330000	6.169170000	350.2		
T	48.641400000	6.168980000	350.4		
T	48.641440000	6.168870000	350.0		
T	48.641520000	6.168610000	350.1		
T	48.641570000	6.168420000	351.7		
T	48.641620000	6.168180000	354.1		
T	48.641670000	6.167910000	355.9		
T	48.641720000	6.167660000	354.9		
T	48.641760000	6.167420000	354.7		
T	48.641830000	6.166980000	356.8		
